g7.t1_1	rna-NM_132816.4_1
g10877.t1_1	rna-NM_137876.4_1
g10878.t1_1	rna-NM_135802.4_1
g10880.t1_1	rna-NM_001170002.1_1
g10881.t2_1	rna-NM_078503.5_1
g10882.t1_1	rna-NM_165484.3_1
g10883.t1_1	rna-NM_001299160.1_1
g10884.t1_1	rna-NM_001015316.3_1
g10887.t1_1	rna-NM_001258998.3_1
g10890.t1_1	rna-NM_140839.4_1
g10891.t1_1	rna-NM_165126.3_1
g10892.t1_1	rna-NM_206767.3_1
g10896.t1_1	rna-NM_001316488.1_1
g10897.t1_1	rna-NM_137618.3_1
g10898.t1_1	rna-NM_079186.4_1
g10899.t1_1	rna-NM_164942.2_1
g10904.t1_1	rna-NM_135607.3_1
g10905.t1_1	rna-NM_001273164.2_1
g10908.t1_1	rna-NM_078982.3_1
g10909.t1_1	rna-NM_170424.2_1
g10910.t1_1	rna-NM_001275136.1_1
g10911.t1_1	rna-NM_132334.4_1
g10912.t1_1	rna-NM_137207.4_1
g10913.t2_1	rna-NM_167835.2_1
g10914.t1_1	rna-NM_001144235.2_1
g10915.t1_1	rna-NM_001369983.1_1
g10917.t1_1	rna-NM_001144255.3_1
g10918.t1_1	rna-NM_001259269.2_1
g10919.t1_1	rna-NM_001259210.1_1
g10922.t2_1	rna-NM_205980.2_1
g10923.t1_1	rna-NM_001299461.1_1
g10924.t1_1	rna-NM_001276222.1_1
g10925.t1_1	rna-NM_001201661.2_1
g10927.t1_1	rna-NM_137068.4_1
g10928.t1_1	rna-NM_140431.3_1
g10929.t3_1	rna-NM_143616.4_1
g10931.t2_1	rna-NM_169480.2_1
g10932.t2_1	rna-NM_168298.1_1
g10933.t1_1	rna-NM_135990.3_1
g10937.t1_1	rna-NM_136497.5_1
g11129.t1_1	rna-NM_001274187.1_1
g11130.t1_1	rna-NM_130669.4_1
g11131.t1_1	rna-NM_167037.2_1
g11132.t1_1	rna-NM_164953.3_1
g11134.t1_1	rna-NM_167157.2_1
g11135.t1_1	rna-NM_143494.4_1
g11137.t1_1	rna-NM_139603.3_1
g11139.t3_1	rna-NM_165993.3_1
g11140.t1_1	rna-NM_168826.2_1
g11144.t1_1	rna-NM_141232.3_1
g11145.t2_1	rna-NM_001300314.1_1
g11146.t1_1	rna-NM_175943.2_1
g11148.t1_1	rna-NM_057788.4_1
g11157.t1_1	rna-NM_001297877.1_1
g11158.t1_1	rna-NM_001299984.1_1
g11159.t1_1	rna-NM_139945.3_1
g11160.t1_1	rna-NM_001316516.1_1
g11161.t1_1	rna-NM_143150.4_1
g11162.t1_1	rna-NM_143149.2_1
g11164.t1_1	rna-NM_001259857.2_1
g11165.t1_1	rna-NM_165673.3_1
g11166.t1_1	rna-NM_079296.4_1
g11167.t1_1	rna-NM_140769.3_1
g11168.t1_1	rna-NM_001103664.2_1
g11169.t1_1	rna-NM_141447.2_1
g11170.t1_1	rna-NM_169717.2_1
g11173.t1_1	rna-NM_057632.4_1
g11174.t5_1	rna-NM_001274846.1_1
g11175.t1_1	rna-NM_001144699.2_1
g11176.t1_1	rna-NM_132173.3_1
g11177.t1_1	rna-NM_167842.3_1
g11178.t1_1	rna-NM_140591.4_1
g11183.t1_1	rna-NM_001275180.1_1
g11184.t1_1	rna-NM_001259863.2_1
g11185.t1_1	rna-NM_168388.2_1
g11188.t2_1	rna-NM_140348.2_1
g11190.t1_1	rna-NM_078606.4_1
g11191.t1_1	rna-NM_139764.3_1
g11192.t1_1	rna-NM_078860.3_1
g11194.t2_1	rna-NM_078716.3_1
g11200.t1_1	rna-NM_057706.5_1
g11201.t1_1	rna-NM_164647.1_1
g11202.t1_1	rna-NM_001370033.1_1
g11204.t2_1	rna-NM_132968.2_1
g11206.t1_1	rna-NM_140873.4_1
g11208.t1_1	rna-NM_001258552.1_1
g11209.t1_1	rna-NM_167662.2_1
g11211.t1_1	rna-NM_142904.4_1
g11212.t1_1	rna-NM_001275556.2_1
g11214.t1_1	rna-NM_001275516.1_1
g11218.t1_1	rna-NM_079739.4_1
g11219.t1_1	rna-NM_136985.3_1
g11220.t1_1	rna-NM_206381.1_1
g11221.t1_1	rna-NM_167805.2_1
g11222.t4_1	rna-NM_001274636.1_1
g11223.t1_1	rna-NM_142957.3_1
g11226.t1_1	rna-NM_057766.5_1
g11227.t1_1	rna-NM_078808.4_1
g11229.t1_1	rna-NM_140049.3_1
g11230.t1_1	rna-NM_140170.2_1
g11231.t1_1	rna-NM_140091.4_1
g11233.t1_1	rna-NM_167608.3_1
g11235.t1_1	rna-NM_140917.2_1
g11236.t1_1	rna-NM_164446.1_1
g11237.t1_1	rna-NM_001275405.1_1
g11238.t1_1	rna-NM_001316636.1_1
g11239.t1_1	rna-NM_169249.2_1
g11240.t1_1	rna-NM_057360.4_1
g11242.t1_1	rna-NM_135804.3_1
g11244.t1_1	rna-NM_001382179.1_1
g11248.t1_1	rna-NM_169833.2_1
g11249.t1_1	rna-NM_132293.3_1
g11250.t1_1	rna-NM_079715.3_1
g11251.t1_1	rna-NM_166087.2_1
g11252.t1_1	rna-NM_001275882.1_1
g11259.t1_1	rna-NM_169278.3_1
g11261.t1_1	rna-NM_001259233.1_1
g11263.t1_1	rna-NM_001300435.1_1
g11266.t1_1	rna-NM_143655.4_1
g11267.t1_1	rna-NM_137944.4_1
g11268.t1_1	rna-NM_079620.3_1
g11276.t1_1	rna-NM_079164.3_1
g11277.t1_1	rna-NM_139453.2_1
g11280.t1_1	rna-NM_080069.4_1
g11281.t1_1	rna-NM_001298007.1_1
g11282.t5_1	rna-NM_137311.5_1
g11283.t1_1	rna-NM_167152.2_1
g11285.t1_1	rna-NM_137319.3_1
g11287.t1_1	rna-NM_001144179.3_1
g11290.t1_1	rna-NM_137322.2_1
g11294.t1_1	rna-NM_176166.3_1
g11297.t1_1	rna-NM_135643.4_1
g11299.t1_1	rna-NM_168987.2_1
g11300.t1_1	rna-NM_001275606.1_1
g11301.t1_1	rna-NM_001316460.1_1
g11302.t1_1	rna-NM_080342.4_1
g11303.t1_1	rna-NM_001272423.2_1
g11304.t1_1	rna-NM_165215.1_1
g11305.t1_1	rna-NM_167166.4_1
g11307.t1_1	rna-NM_001298952.1_1
g11310.t1_1	rna-NM_079262.3_1
g11311.t1_1	rna-NM_140250.1_1
g11314.t1_1	rna-NM_001103397.3_1
g11315.t1_1	rna-NM_141991.3_1
g11316.t1_1	rna-NM_001110548.2_1
g11317.t1_1	rna-NM_141942.3_1
g11320.t1_1	rna-NM_137142.5_1
g11321.t1_1	rna-NM_079011.3_1
g11323.t1_1	rna-NM_058092.4_1
g11324.t1_1	rna-NM_079676.4_1
g11325.t1_1	rna-NM_001298661.1_1
g11333.t2_1	rna-NM_057535.4_1
g11334.t1_1	rna-NM_132189.3_1
g11337.t1_1	rna-NM_137343.3_1
g11341.t1_1	rna-NM_141871.3_1
g11342.t1_1	rna-NM_001170275.2_1
g11346.t1_1	rna-NM_142927.3_1
g11347.t1_1	rna-NM_001272982.2_1
g11348.t1_1	rna-NM_142192.4_1
g11349.t1_1	rna-NM_080203.2_1
g11350.t1_1	rna-NM_079427.3_1
g11352.t1_1	rna-NM_142718.2_1
g11353.t1_1	rna-NM_137421.3_1
g11354.t2_1	rna-NM_001276005.1_1
g11355.t1_1	rna-NM_143759.3_1
g11356.t1_1	rna-NM_001274900.1_1
g11358.t1_1	rna-NM_001274902.1_1
g11360.t1_1	rna-NM_136535.3_1
g11361.t1_1	rna-NM_001169377.1_1
g11362.t1_1	rna-NM_135258.3_1
g11364.t2_1	rna-NM_165048.2_1
g11365.t1_1	rna-NM_140055.4_1
g11370.t1_1	rna-NM_137101.4_1
g11371.t1_1	rna-NM_165272.2_1
g11372.t1_1	rna-NM_001038786.2_1
g11373.t1_1	rna-NM_135056.4_1
g11374.t2_1	rna-NM_135057.3_1
g11375.t1_1	rna-NM_135135.3_1
g11378.t1_1	rna-NM_001272952.1_1
g11379.t1_1	rna-NM_139738.2_1
g11382.t1_1	rna-NM_168200.2_1
g11383.t1_1	rna-NM_001272778.1_1
g11384.t1_1	rna-NM_139917.3_1
g11385.t1_1	rna-NM_206776.2_1
g11387.t1_1	rna-NM_143594.3_1
g11388.t1_1	rna-NM_057875.5_1
g11390.t1_1	rna-NM_143143.3_1
g11391.t1_1	rna-NM_001275565.1_1
g11392.t1_1	rna-NM_165619.3_1
g11393.t1_1	rna-NM_078509.3_1
g11395.t1_1	rna-NM_168905.2_1
g11396.t1_1	rna-NM_001369962.1_1
g11397.t1_1	rna-NM_141652.2_1
g11398.t2_1	rna-NM_140580.2_1
g11400.t1_1	rna-NM_079546.3_1
g11401.t1_1	rna-NM_169200.2_1
g11402.t1_1	rna-NM_141488.3_1
g11403.t1_1	rna-NM_001170067.2_1
g11404.t1_1	rna-NM_140242.4_1
g11407.t1_1	rna-NM_139810.3_1
g11411.t1_1	rna-NM_001104140.3_1
g11412.t2_1	rna-NM_141157.4_1
g11413.t1_1	rna-NM_135216.4_1
g11414.t1_1	rna-NM_130707.2_1
g11415.t1_1	rna-NM_132573.3_1
g11416.t1_1	rna-NM_139819.3_1
g11420.t1_1	rna-NM_136250.4_1
g11421.t2_1	rna-NM_132176.4_1
g11424.t1_1	rna-NM_133030.4_1
g11426.t1_1	rna-NM_167182.2_1
g11427.t1_1	rna-NM_001274318.1_1
g11429.t1_1	rna-NM_139448.4_1
g11432.t1_1	rna-NM_166867.2_1
g11433.t1_1	rna-NM_130609.4_1
g11437.t1_1	rna-NM_079235.4_1
g11440.t1_1	rna-NM_136211.4_1
g11441.t2_1	rna-NM_057972.4_1
g11447.t1_1	rna-NM_140792.2_1
g11448.t2_1	rna-NM_001274950.1_1
g11449.t1_1	rna-NM_001103514.2_1
g11451.t1_1	rna-NM_080161.2_1
g11452.t1_1	rna-NM_136969.4_1
g11453.t1_1	rna-NM_167310.2_1
g11457.t1_1	rna-NM_001103755.3_1
g11458.t1_1	rna-NM_132008.4_1
g11465.t1_1	rna-NM_133106.3_1
g11478.t1_1	rna-NM_001275094.1_1
g11489.t1_1	rna-NM_169067.5_1
g11498.t1_1	rna-NM_139823.3_1
g11504.t1_1	rna-NM_140229.3_1
g11510.t1_1	rna-NM_141424.3_1
g11523.t1_1	rna-NM_135764.4_1
g11524.t2_1	rna-NM_165027.2_1
g11525.t1_1	rna-NM_132611.3_1
g11526.t1_1	rna-NM_057973.4_1
g11527.t1_1	rna-NM_142436.4_1
g11533.t1_1	rna-NM_001370031.1_1
g11535.t1_1	rna-NM_165552.5_1
g11536.t1_1	rna-NM_141419.4_1
g11538.t5_1	rna-NM_001169247.1_1
g11544.t1_1	rna-NM_141420.3_1
g11545.t1_1	rna-NM_141423.4_1
g11551.t1_1	rna-NM_079732.1_1
g11553.t1_1	rna-NM_001259766.2_1
g11554.t1_1	rna-NM_079461.3_1
g11559.t1_1	rna-NM_001272802.2_1
g11560.t1_1	rna-NM_079054.5_1
g11561.t1_1	rna-NM_001201762.1_1
g11563.t1_1	rna-NM_001299485.1_1
g11564.t1_1	rna-NM_001275873.1_1
g11565.t1_1	rna-NM_001260296.1_1
g11567.t1_1	rna-NM_001276034.1_1
g11569.t2_1	rna-NM_001201667.2_1
g11570.t1_1	rna-NM_001274668.1_1
g11571.t1_1	rna-NM_137896.3_1
g11572.t1_1	rna-NM_133102.3_1
g11573.t1_1	rna-NM_135534.3_1
g11576.t3_1	rna-NM_058084.5_1
g11578.t1_1	rna-NM_143017.3_1
g11581.t1_1	rna-NM_176157.2_1
g11582.t2_1	rna-NM_001202063.2_1
g11583.t1_1	rna-NM_079592.3_1
g11586.t1_1	rna-NM_136338.3_1
g11587.t1_1	rna-NM_169581.2_1
g11588.t1_1	rna-NM_165595.3_1
g11592.t1_1	rna-NM_137031.3_1
g11595.t1_1	rna-NM_001031918.2_1
g11596.t1_1	rna-NM_132154.3_1
g11598.t1_1	rna-NM_001038923.3_1
g11599.t1_1	rna-NM_001274904.1_1
g11600.t1_1	rna-NM_001014605.3_1
g11602.t2_1	rna-NM_135773.3_1
g11603.t1_1	rna-NM_001259364.2_1
g11604.t1_1	rna-NM_001202319.2_1
g11606.t4_1	rna-NM_141316.2_1
g11608.t1_1	rna-NM_143024.3_1
g11613.t1_1	rna-NM_001273363.1_1
g11614.t1_1	rna-NM_206179.3_1
g11617.t1_1	rna-NM_001015352.4_1
g11621.t1_1	rna-NM_135117.3_1
g11622.t1_1	rna-NM_168048.2_1
g11623.t1_1	rna-NM_001300090.1_1
g11624.t1_1	rna-NM_079453.3_1
g11625.t1_1	rna-NM_140832.4_1
g11626.t1_1	rna-NM_079656.4_1
g11627.t1_1	rna-NM_205915.3_1
g11630.t1_1	rna-NM_167298.3_1
g11632.t1_1	rna-NM_079655.4_1
g11635.t1_1	rna-NM_169772.3_1
g11636.t1_1	rna-NM_136952.3_1
g11637.t1_1	rna-NM_138760.3_1
g11643.t1_1	rna-NM_139532.2_1
g11645.t1_1	rna-NM_139835.3_1
g11646.t1_1	rna-NM_001103646.4_1
g11647.t1_1	rna-NM_001260069.2_1
g11649.t1_1	rna-NM_001382024.1_1
g11650.t1_1	rna-NM_001298736.1_1
g11652.t1_1	rna-NM_143378.4_1
g11653.t1_1	rna-NM_165057.4_1
g11654.t1_1	rna-NM_167615.2_1
g11655.t1_1	rna-NM_001275497.1_1
g11656.t1_1	rna-NM_165567.4_1
g11659.t1_1	rna-NM_001042904.4_1
g11660.t1_1	rna-NM_001260462.2_1
g11662.t1_1	rna-NM_001298058.1_1
g11663.t1_1	rna-NM_167796.3_1
g11664.t1_1	rna-NM_080029.4_1
g11665.t1_1	rna-NM_001274034.2_1
g11667.t1_1	rna-NM_142469.2_1
g11668.t2_1	rna-NM_001369998.1_1
g11670.t1_1	rna-NM_001273803.1_1
g11671.t1_1	rna-NM_132085.2_1
g11672.t1_1	rna-NM_132309.3_1
g11673.t1_1	rna-NM_143031.2_1
g11674.t1_1	rna-NM_141713.4_1
g11676.t1_1	rna-NM_170524.2_1
g11677.t1_1	rna-NM_142027.4_1
g11678.t1_1	rna-NM_057822.4_1
g11679.t1_1	rna-NM_142980.4_1
g11680.t1_1	rna-NM_079867.3_1
g11681.t1_1	rna-NM_001300690.1_1
g11682.t1_1	rna-NM_079458.4_1
g11688.t1_1	rna-NM_143627.3_1
g11689.t1_1	rna-NM_136267.5_1
g11690.t1_1	rna-NM_001273465.1_1
g11691.t1_1	rna-NM_176042.2_1
g11693.t1_1	rna-NM_135014.3_1
g11694.t1_1	rna-NM_001273746.2_1
g11695.t1_1	rna-NM_001014475.2_1
g11697.t1_1	rna-NM_135225.2_1
g11699.t1_1	rna-NM_141866.2_1
g11702.t2_1	rna-NM_135483.5_1
g11703.t1_1	rna-NM_057881.5_1
g11705.t1_1	rna-NM_142472.4_1
g11707.t1_1	rna-NM_001170177.2_1
g11708.t1_1	rna-NM_001144608.2_1
g11710.t1_1	rna-NM_142477.3_1
g11711.t2_1	rna-NM_142478.3_1
g11712.t1_1	rna-NM_132268.2_1
g11713.t2_1	rna-NM_137331.3_1
g11715.t2_1	rna-NM_001258623.2_1
g11716.t1_1	rna-NM_079634.3_1
g11717.t1_1	rna-NM_001298928.1_1
g11718.t2_1	rna-NM_001370013.1_1
g11720.t2_1	rna-NM_001300525.1_1
g11722.t1_1	rna-NM_132519.2_1
g11723.t1_1	rna-NM_078575.3_1
g11724.t4_1	rna-NM_078520.3_1
g11725.t1_1	rna-NM_001031908.2_1
g11726.t1_1	rna-NM_001103604.2_1
g11727.t1_1	rna-NM_001273303.1_1
g11728.t1_1	rna-NM_137649.3_1
g11731.t1_1	rna-NM_134646.4_1
g11734.t1_1	rna-NM_001032048.2_1
g11735.t1_1	rna-NM_134890.3_1
g11736.t2_1	rna-NM_001170311.1_1
g11737.t1_1	rna-NM_001298646.1_1
g11738.t1_1	rna-NM_142125.4_1
g11739.t1_1	rna-NM_142565.4_1
g11740.t1_1	rna-NM_142732.3_1
g11741.t1_1	rna-NM_078878.3_1
g11742.t1_1	rna-NM_136246.3_1
g11743.t2_1	rna-NM_057328.4_1
g11744.t1_1	rna-NM_136058.5_1
g11745.t1_1	rna-NM_078652.4_1
g11746.t2_1	rna-NM_001170193.1_1
g11748.t1_1	rna-NM_140405.2_1
g11751.t3_1	rna-NM_001038746.3_1
g11752.t1_1	rna-NM_137185.4_1
g11754.t1_1	rna-NM_001144135.2_1
g11755.t1_1	rna-NM_001299762.1_1
g11757.t1_1	rna-NM_001274867.1_1
g11762.t1_1	rna-NM_001202013.1_1
g11769.t1_1	rna-NM_080216.3_1
g11776.t1_1	rna-NM_167700.3_1
g11782.t1_1	rna-NM_206466.1_1
g11783.t1_1	rna-NM_001272601.1_1
g11785.t1_1	rna-NM_001297983.1_1
g11786.t1_1	rna-NM_001382065.1_1
g11787.t1_1	rna-NM_001201920.2_1
g11788.t1_1	rna-NM_135962.3_1
g11798.t1_1	rna-NM_140576.4_1
g11799.t1_1	rna-NM_135039.2_1
g11801.t1_1	rna-NM_001273957.1_1
g11802.t1_1	rna-NM_001032402.2_1
g11806.t1_1	rna-NM_132941.3_1
g11807.t2_1	rna-NM_142636.2_1
g11809.t1_1	rna-NM_001258614.2_1
g11810.t1_1	rna-NM_206637.4_1
g11812.t1_1	rna-NM_141228.2_1
g11813.t1_1	rna-NM_080515.3_1
g11815.t1_1	rna-NM_141333.3_1
g11817.t1_1	rna-NM_001274111.1_1
g11818.t1_1	rna-NM_137667.4_1
g11826.t1_1	rna-NM_206501.3_1
g11829.t1_1	rna-NM_058116.5_1
g11833.t1_1	rna-NM_143476.3_1
g11834.t1_1	rna-NM_169991.2_1
g11835.t1_1	rna-NM_167013.2_1
g11836.t1_1	rna-NM_078514.4_1
g11837.t1_1	rna-NM_135631.4_1
g11838.t5_1	rna-NM_001275893.1_1
g11839.t1_1	rna-NM_140331.3_1
g11840.t2_1	rna-NM_166156.4_1
g11842.t1_1	rna-NM_079752.3_1
g11844.t1_1	rna-NM_166960.3_1
g11846.t1_1	rna-NM_001169594.2_1
g11847.t1_1	rna-NM_001275976.1_1
g11848.t1_1	rna-NM_080380.3_1
g11851.t1_1	rna-NM_136609.5_1
g11853.t1_1	rna-NM_134735.2_1
g11854.t1_1	rna-NM_137507.5_1
g11855.t1_1	rna-NM_142520.4_1
g11856.t1_1	rna-NM_141027.4_1
g11857.t1_1	rna-NM_137504.3_1
g11858.t1_1	rna-NM_001299345.1_1
g11859.t1_1	rna-NM_143452.3_1
g11860.t1_1	rna-NM_137151.4_1
g11861.t1_1	rna-NM_080532.4_1
g11862.t2_1	rna-NM_136455.3_1
g11863.t1_1	rna-NM_143408.3_1
g11864.t2_1	rna-NM_138090.2_1
g11867.t1_1	rna-NM_135046.5_1
g11868.t2_1	rna-NM_136000.3_1
g11870.t1_1	rna-NM_170294.1_1
g11872.t1_1	rna-NM_057458.5_1
g11873.t2_1	rna-NM_001272640.1_1
g11874.t1_1	rna-NM_079822.3_1
g11878.t1_1	rna-NM_164880.3_1
g11879.t1_1	rna-NM_136618.5_1
g11880.t2_1	rna-NM_001299714.1_1
g11881.t2_1	rna-NM_137664.3_1
g11882.t1_1	rna-NM_136348.3_1
g11883.t1_1	rna-NM_141270.1_1
g11884.t1_1	rna-NM_169063.4_1
g11885.t1_1	rna-NM_141590.4_1
g11886.t2_1	rna-NM_057433.4_1
g11888.t1_1	rna-NM_057553.5_1
g11892.t1_1	rna-NM_001297890.1_1
g11896.t2_1	rna-NM_141354.3_1
g11897.t4_1	rna-NM_001298229.1_1
g11905.t1_1	rna-NM_001104057.1_1
g11907.t1_1	rna-NM_078938.3_1
g11908.t1_1	rna-NM_001273980.2_1
g11909.t1_1	rna-NM_136880.3_1
g11915.t1_1	rna-NM_001299391.1_1
g11916.t1_1	rna-NM_165319.3_1
g11917.t1_1	rna-NM_132833.3_1
g11918.t1_1	rna-NM_132163.4_1
g11919.t2_1	rna-NM_134519.3_1
g11922.t1_1	rna-NM_137728.3_1
g11923.t2_1	rna-NM_136936.5_1
g11924.t1_1	rna-NM_001259432.2_1
g11925.t1_1	rna-NM_137250.4_1
g11926.t4_1	rna-NM_001273749.1_1
g11928.t1_1	rna-NM_001298897.1_1
g11929.t1_1	rna-NM_165010.3_1
g11931.t1_1	rna-NM_143211.4_1
g11933.t1_1	rna-NM_001169648.2_1
g11934.t3_1	rna-NM_001276117.1_1
g11938.t1_1	rna-NM_134496.3_1
g11942.t1_1	rna-NM_080248.3_1
g11943.t1_1	rna-NM_079644.3_1
g11945.t1_1	rna-NM_001272262.2_1
g11947.t1_1	rna-NM_001104342.4_1
g11954.t1_1	rna-NM_001275514.1_1
g11957.t1_1	rna-NM_001260234.1_1
g11958.t1_1	rna-NM_140997.3_1
g11960.t1_1	rna-NM_136643.4_1
g11962.t1_1	rna-NM_141277.5_1
g11964.t1_1	rna-NM_138011.4_1
g11965.t1_1	rna-NM_176316.2_1
g11966.t1_1	rna-NM_140095.4_1
g11969.t1_1	rna-NM_137709.4_1
g11970.t1_1	rna-NM_079393.2_1
g11971.t1_1	rna-NM_001298308.1_1
g11972.t1_1	rna-NM_001273528.1_1
g11974.t3_1	rna-NM_136299.5_1
g11975.t1_1	rna-NM_057874.5_1
g11976.t1_1	rna-NM_079640.3_1
g11977.t7_1	rna-NM_169638.4_1
g11978.t2_1	rna-NM_079637.5_1
g11980.t1_1	rna-NM_001103504.2_1
g11981.t2_1	rna-NM_078683.3_1
g11984.t1_1	rna-NM_058149.4_1
g11985.t1_1	rna-NM_001202179.2_1
g11986.t1_1	rna-NM_079310.3_1
g11987.t1_1	rna-NM_168492.2_1
g11988.t1_1	rna-NM_001298016.1_1
g11989.t1_1	rna-NM_140998.3_1
g11990.t1_1	rna-NM_205934.3_1
g11991.t1_1	rna-NM_140056.3_1
g11993.t1_1	rna-NM_001038854.2_1
g11997.t1_1	rna-NM_001043001.3_1
g11999.t1_1	rna-NM_001258612.2_1
g12004.t1_1	rna-NM_001382035.1_1
g12005.t1_1	rna-NM_001298874.1_1
g12013.t1_1	rna-NM_139404.3_1
g12015.t2_1	rna-NM_136973.2_1
g12016.t1_1	rna-NM_132587.4_1
g12029.t1_1	rna-NM_136678.3_1
g12030.t2_1	rna-NM_001014590.2_1
g12033.t1_1	rna-NM_001276095.1_1
g12038.t1_1	rna-NM_170406.2_1
g12039.t1_1	rna-NM_132717.2_1
g12050.t1_1	rna-NM_057693.5_1
g12058.t1_1	rna-NM_143430.4_1
g12061.t2_1	rna-NM_133159.3_1
g12062.t2_1	rna-NM_079746.6_1
g12063.t1_1	rna-NM_132220.4_1
g12065.t1_1	rna-NM_001298351.1_1
g12067.t1_1	rna-NM_079770.3_1
g12071.t1_1	rna-NM_001299088.1_1
g12078.t2_1	rna-NM_001274040.1_1
g12081.t1_1	rna-NM_001103507.3_1
g12082.t1_1	rna-NM_001299899.1_1
g12089.t1_1	rna-NM_001272634.2_1
g12091.t1_1	rna-NM_134819.4_1
g12095.t1_1	rna-NM_167168.4_1
g12098.t2_1	rna-NM_001274730.1_1
g12099.t4_1	rna-NM_001274320.1_1
g12101.t1_1	rna-NM_079703.3_1
g12102.t1_1	rna-NM_079692.4_1
g12108.t1_1	rna-NM_079759.4_1
g12117.t1_1	rna-NM_142290.3_1
g12119.t1_1	rna-NM_001103588.2_1
g12124.t1_1	rna-NM_001274579.1_1
g12125.t2_1	rna-NM_136039.3_1
g12129.t1_1	rna-NM_144107.4_1
g12133.t1_1	rna-NM_057907.4_1
g12137.t1_1	rna-NM_078814.4_1
g12139.t1_1	rna-NM_134670.3_1
g12140.t1_1	rna-NM_143204.3_1
g12143.t2_1	rna-NM_001144246.3_1
g12144.t1_1	rna-NM_166398.2_1
g12146.t1_1	rna-NM_164957.2_1
g12147.t1_1	rna-NM_080162.4_1
g12148.t1_1	rna-NM_080257.4_1
g12149.t1_1	rna-NM_143427.4_1
g12150.t1_1	rna-NM_135750.3_1
g12151.t1_1	rna-NM_001298168.1_1
g12152.t1_1	rna-NM_137621.3_1
g12153.t1_1	rna-NM_139421.4_1
g12155.t1_1	rna-NM_078651.4_1
g12156.t1_1	rna-NM_057988.4_1
g12160.t3_1	rna-NM_001144753.2_1
g12161.t1_1	rna-NM_168674.4_1
g12164.t1_1	rna-NM_143074.4_1
g12167.t1_1	rna-NM_001032230.3_1
g12169.t1_1	rna-NM_141274.3_1
g12170.t1_1	rna-NM_001201654.2_1
g12171.t1_1	rna-NM_169920.2_1
g12172.t2_1	rna-NM_001276209.1_1
g12174.t1_1	rna-NM_137095.3_1
g12176.t2_1	rna-NM_132122.5_1
g12178.t1_1	rna-NM_132144.3_1
g12182.t1_1	rna-NM_141708.3_1
g12184.t1_1	rna-NM_001316507.1_1
g12186.t1_1	rna-NM_001260162.1_1
g12187.t1_1	rna-NM_143459.3_1
g12192.t1_1	rna-NM_165776.4_1
g12196.t1_1	rna-NM_001274338.1_1
g12202.t1_1	rna-NM_142949.4_1
g12203.t1_1	rna-NM_137825.4_1
g12204.t1_1	rna-NM_079059.3_1
g12205.t1_1	rna-NM_001273216.1_1
g12206.t1_1	rna-NM_141216.4_1
g12209.t1_1	rna-NM_001014533.2_1
g12210.t2_1	rna-NM_001298384.1_1
g12213.t1_1	rna-NM_058057.6_1
g12215.t1_1	rna-NM_133001.3_1
g12217.t1_1	rna-NM_169450.4_1
g12219.t1_1	rna-NM_135569.4_1
g12220.t1_1	rna-NM_136473.3_1
g12222.t1_1	rna-NM_079761.4_1
g12223.t1_1	rna-NM_058118.5_1
g12224.t1_1	rna-NM_080149.4_1
g12225.t1_1	rna-NM_001273907.2_1
g12226.t1_1	rna-NM_079551.4_1
g12228.t1_1	rna-NM_170435.2_1
g12234.t1_1	rna-NM_001258662.2_1
g12235.t2_1	rna-NM_001169458.2_1
g12237.t1_1	rna-NM_134488.2_1
g12239.t1_1	rna-NM_142518.4_1
g12240.t1_1	rna-NM_136469.4_1
g12241.t1_1	rna-NM_001298727.1_1
g12243.t1_1	rna-NM_205949.4_1
g12248.t1_1	rna-NM_140569.2_1
g12250.t1_1	rna-NM_143780.4_1
g12252.t1_1	rna-NM_001272452.1_1
g12253.t1_1	rna-NM_135441.2_1
g12254.t1_1	rna-NM_137295.3_1
g12255.t1_1	rna-NM_001169285.2_1
g12256.t1_1	rna-NM_079227.3_1
g12266.t1_1	rna-NM_079436.3_1
g12269.t1_1	rna-NM_142809.4_1
g12270.t1_1	rna-NM_001300621.1_1
g12271.t1_1	rna-NM_170296.3_1
g12273.t1_1	rna-NM_132065.2_1
g12278.t2_1	rna-NM_206291.2_1
g12279.t1_1	rna-NM_137456.3_1
g12280.t1_1	rna-NM_079352.4_1
g12281.t3_1	rna-NM_079301.4_1
g12282.t1_1	rna-NM_080019.3_1
g12283.t2_1	rna-NM_080260.4_1
g12284.t1_1	rna-NM_142587.3_1
g12285.t1_1	rna-NM_001273950.1_1
g12290.t1_1	rna-NM_166543.2_1
g12291.t1_1	rna-NM_079693.4_1
g12292.t1_1	rna-NM_133019.4_1
g12293.t1_1	rna-NM_141553.3_1
g12296.t2_1	rna-NM_001298850.1_1
g12297.t2_1	rna-NM_078633.4_1
g12299.t1_1	rna-NM_135332.4_1
g12300.t1_1	rna-NM_140350.5_1
g12301.t1_1	rna-NM_137229.3_1
g12303.t1_1	rna-NM_143134.3_1
g12304.t1_1	rna-NM_078827.3_1
g12310.t1_1	rna-NM_057696.4_1
g12321.t1_1	rna-NM_134566.3_1
g12322.t1_1	rna-NM_167313.3_1
g12323.t1_1	rna-NM_001258628.3_1
g12324.t2_1	rna-NM_176699.3_1
g12325.t1_1	rna-NM_001169213.2_1
g12326.t1_1	rna-NM_001272373.1_1
g12327.t1_1	rna-NM_001298022.1_1
g12328.t1_1	rna-NM_001272659.2_1
