chromosome,A_obtectus,B_siliquastri,C_chinensis,C_maculatus,four_way_OG_ID,pairs_OG_IDs_lists
A,rna-AOBTE_LOCUS18422,BRAKERILHT00000014005,CALCHIM00000004991,g3625.t1,3800,"['B_siliquastri_C_maculatus_A-linked_ortholog_6831', 'A_obtectus_C_chinensis_A-linked_ortholog_5011', 'A_obtectus_B_siliquastri_A-linked_ortholog_4810', 'B_siliquastri_C_chinensis_A-linked_ortholog_7318', 'C_chinensis_C_maculatus_A-linked_ortholog_3829', 'A_obtectus_C_maculatus_A-linked_ortholog_4575']"
A,rna-AOBTE_LOCUS18423,BRAKERILHT00000013535,CALCHIM00000004992,g3624.t1,3801,"['B_siliquastri_C_maculatus_A-linked_ortholog_6830', 'A_obtectus_C_chinensis_A-linked_ortholog_5012', 'A_obtectus_B_siliquastri_A-linked_ortholog_4811', 'B_siliquastri_C_chinensis_A-linked_ortholog_7317', 'C_chinensis_C_maculatus_A-linked_ortholog_3830', 'A_obtectus_C_maculatus_A-linked_ortholog_4576']"
A,rna-AOBTE_LOCUS18424-2,BRAKERILHT00000013404,CALCHIM00000004993,g3626.t1,3802,"['B_siliquastri_C_maculatus_A-linked_ortholog_6829', 'A_obtectus_C_chinensis_A-linked_ortholog_5013', 'A_obtectus_B_siliquastri_A-linked_ortholog_4812', 'B_siliquastri_C_chinensis_A-linked_ortholog_7316', 'C_chinensis_C_maculatus_A-linked_ortholog_3831', 'A_obtectus_C_maculatus_A-linked_ortholog_4577']"
A,rna-AOBTE_LOCUS18426-2,BRAKERILHT00000013154,CALCHIM00000004997,g3627.t1,3803,"['B_siliquastri_C_maculatus_A-linked_ortholog_6828', 'A_obtectus_C_chinensis_A-linked_ortholog_5015', 'A_obtectus_B_siliquastri_A-linked_ortholog_4814', 'B_siliquastri_C_chinensis_A-linked_ortholog_7314', 'C_chinensis_C_maculatus_A-linked_ortholog_3832', 'A_obtectus_C_maculatus_A-linked_ortholog_4578']"
A,rna-AOBTE_LOCUS18428,BRAKERILHT00000013278,CALCHIM00000005002,g3628.t1,3804,"['B_siliquastri_C_maculatus_A-linked_ortholog_6827', 'A_obtectus_C_chinensis_A-linked_ortholog_5016', 'A_obtectus_B_siliquastri_A-linked_ortholog_4815', 'B_siliquastri_C_chinensis_A-linked_ortholog_7313', 'C_chinensis_C_maculatus_A-linked_ortholog_3833', 'A_obtectus_C_maculatus_A-linked_ortholog_4579']"
A,rna-AOBTE_LOCUS18431,BRAKERILHT00000012514,CALCHIM00000005004,g3632.t1,3805,"['B_siliquastri_C_maculatus_A-linked_ortholog_6825', 'A_obtectus_C_chinensis_A-linked_ortholog_5017', 'A_obtectus_B_siliquastri_A-linked_ortholog_4816', 'B_siliquastri_C_chinensis_A-linked_ortholog_7312', 'C_chinensis_C_maculatus_A-linked_ortholog_3834', 'A_obtectus_C_maculatus_A-linked_ortholog_4580']"
A,rna-AOBTE_LOCUS18437-3,BRAKERILHT00000012916,CALCHIM00000027414,g3635.t1,3806,"['B_siliquastri_C_maculatus_A-linked_ortholog_6824', 'A_obtectus_C_chinensis_A-linked_ortholog_5018', 'A_obtectus_B_siliquastri_A-linked_ortholog_4817', 'B_siliquastri_C_chinensis_A-linked_ortholog_7311', 'C_chinensis_C_maculatus_A-linked_ortholog_5458', 'A_obtectus_C_maculatus_A-linked_ortholog_4582']"
A,rna-AOBTE_LOCUS18442,BRAKERILHT00000013498,CALCHIM00000027415,g3639.t1,3807,"['B_siliquastri_C_maculatus_A-linked_ortholog_6823', 'A_obtectus_C_chinensis_A-linked_ortholog_5019', 'A_obtectus_B_siliquastri_A-linked_ortholog_4818', 'B_siliquastri_C_chinensis_A-linked_ortholog_7310', 'C_chinensis_C_maculatus_A-linked_ortholog_5459', 'A_obtectus_C_maculatus_A-linked_ortholog_4583']"
A,rna-AOBTE_LOCUS18445-3,BRAKERILHT00000012763,CALCHIM00000027418,g3640.t2,3808,"['B_siliquastri_C_maculatus_A-linked_ortholog_6822', 'A_obtectus_C_chinensis_A-linked_ortholog_5020', 'A_obtectus_B_siliquastri_A-linked_ortholog_4820', 'B_siliquastri_C_chinensis_A-linked_ortholog_7309', 'C_chinensis_C_maculatus_A-linked_ortholog_5460', 'A_obtectus_C_maculatus_A-linked_ortholog_4584']"
A,rna-AOBTE_LOCUS18446,BRAKERILHT00000012524,CALCHIM00000027425,g3641.t1,3809,"['B_siliquastri_C_maculatus_A-linked_ortholog_6821', 'A_obtectus_C_chinensis_A-linked_ortholog_5021', 'A_obtectus_B_siliquastri_A-linked_ortholog_4821', 'B_siliquastri_C_chinensis_A-linked_ortholog_7308', 'C_chinensis_C_maculatus_A-linked_ortholog_5461', 'A_obtectus_C_maculatus_A-linked_ortholog_4585']"
A,rna-AOBTE_LOCUS18449,BRAKERILHT00000012917,CALCHIM00000027427,g3649.t1,3810,"['B_siliquastri_C_maculatus_A-linked_ortholog_6820', 'A_obtectus_C_chinensis_A-linked_ortholog_5022', 'A_obtectus_B_siliquastri_A-linked_ortholog_4822', 'B_siliquastri_C_chinensis_A-linked_ortholog_7307', 'C_chinensis_C_maculatus_A-linked_ortholog_5462', 'A_obtectus_C_maculatus_A-linked_ortholog_4586']"
A,rna-AOBTE_LOCUS18453-3,BRAKERILHT00000012642,CALCHIM00000027430,g3648.t1,3811,"['B_siliquastri_C_maculatus_A-linked_ortholog_6819', 'A_obtectus_C_chinensis_A-linked_ortholog_5024', 'A_obtectus_B_siliquastri_A-linked_ortholog_4823', 'B_siliquastri_C_chinensis_A-linked_ortholog_7306', 'C_chinensis_C_maculatus_A-linked_ortholog_5463', 'A_obtectus_C_maculatus_A-linked_ortholog_4587']"
A,rna-AOBTE_LOCUS18455,BRAKERILHT00000013916,CALCHIM00000027434,g3646.t1,3812,"['B_siliquastri_C_maculatus_A-linked_ortholog_6818', 'A_obtectus_C_chinensis_A-linked_ortholog_5025', 'A_obtectus_B_siliquastri_A-linked_ortholog_4825', 'B_siliquastri_C_chinensis_A-linked_ortholog_7304', 'C_chinensis_C_maculatus_A-linked_ortholog_5465', 'A_obtectus_C_maculatus_A-linked_ortholog_4588']"
A,rna-AOBTE_LOCUS18459,BRAKERILHT00000013185,CALCHIM00000027441,g3642.t1,3813,"['B_siliquastri_C_maculatus_A-linked_ortholog_6816', 'A_obtectus_C_chinensis_A-linked_ortholog_5029', 'A_obtectus_B_siliquastri_A-linked_ortholog_4826', 'B_siliquastri_C_chinensis_A-linked_ortholog_7302', 'C_chinensis_C_maculatus_A-linked_ortholog_5469', 'A_obtectus_C_maculatus_A-linked_ortholog_4592']"
A,rna-AOBTE_LOCUS18460,BRAKERILHT00000012924,CALCHIM00000027444,g3650.t1,3814,"['B_siliquastri_C_maculatus_A-linked_ortholog_6815', 'A_obtectus_C_chinensis_A-linked_ortholog_5030', 'A_obtectus_B_siliquastri_A-linked_ortholog_4827', 'B_siliquastri_C_chinensis_A-linked_ortholog_7301', 'C_chinensis_C_maculatus_A-linked_ortholog_5470', 'A_obtectus_C_maculatus_A-linked_ortholog_4593']"
A,rna-AOBTE_LOCUS18463-3,BRAKERILHT00000013288,CALCHIM00000027449,g3651.t1,3815,"['B_siliquastri_C_maculatus_A-linked_ortholog_6814', 'A_obtectus_C_chinensis_A-linked_ortholog_5031', 'A_obtectus_B_siliquastri_A-linked_ortholog_4828', 'B_siliquastri_C_chinensis_A-linked_ortholog_7300', 'C_chinensis_C_maculatus_A-linked_ortholog_5471', 'A_obtectus_C_maculatus_A-linked_ortholog_4595']"
A,rna-AOBTE_LOCUS18464-3,BRAKERILHT00000012804,CALCHIM00000027451,g3652.t1,3816,"['B_siliquastri_C_maculatus_A-linked_ortholog_6813', 'A_obtectus_C_chinensis_A-linked_ortholog_5032', 'A_obtectus_B_siliquastri_A-linked_ortholog_4829', 'B_siliquastri_C_chinensis_A-linked_ortholog_7299', 'C_chinensis_C_maculatus_A-linked_ortholog_5472', 'A_obtectus_C_maculatus_A-linked_ortholog_4596']"
A,rna-AOBTE_LOCUS18466-3,BRAKERILHT00000013563,CALCHIM00000027454,g3653.t1,3817,"['B_siliquastri_C_maculatus_A-linked_ortholog_6812', 'A_obtectus_C_chinensis_A-linked_ortholog_5033', 'A_obtectus_B_siliquastri_A-linked_ortholog_4830', 'B_siliquastri_C_chinensis_A-linked_ortholog_7298', 'C_chinensis_C_maculatus_A-linked_ortholog_5473', 'A_obtectus_C_maculatus_A-linked_ortholog_4597']"
A,rna-AOBTE_LOCUS18467,BRAKERILHT00000013722,CALCHIM00000027456,g3654.t2,3818,"['B_siliquastri_C_maculatus_A-linked_ortholog_6811', 'A_obtectus_C_chinensis_A-linked_ortholog_5034', 'A_obtectus_B_siliquastri_A-linked_ortholog_4831', 'B_siliquastri_C_chinensis_A-linked_ortholog_7297', 'C_chinensis_C_maculatus_A-linked_ortholog_5474', 'A_obtectus_C_maculatus_A-linked_ortholog_4598']"
A,rna-AOBTE_LOCUS18468,BRAKERILHT00000012412,CALCHIM00000027459,g3655.t1,3819,"['B_siliquastri_C_maculatus_A-linked_ortholog_6810', 'A_obtectus_C_chinensis_A-linked_ortholog_5035', 'A_obtectus_B_siliquastri_A-linked_ortholog_4832', 'B_siliquastri_C_chinensis_A-linked_ortholog_7296', 'C_chinensis_C_maculatus_A-linked_ortholog_5475', 'A_obtectus_C_maculatus_A-linked_ortholog_4599']"
A,rna-AOBTE_LOCUS18471,BRAKERILHT00000013033,CALCHIM00000027460,g3657.t2,3820,"['B_siliquastri_C_maculatus_A-linked_ortholog_6808', 'A_obtectus_C_chinensis_A-linked_ortholog_5037', 'A_obtectus_B_siliquastri_A-linked_ortholog_4834', 'B_siliquastri_C_chinensis_A-linked_ortholog_7294', 'C_chinensis_C_maculatus_A-linked_ortholog_5476', 'A_obtectus_C_maculatus_A-linked_ortholog_4602']"
A,rna-AOBTE_LOCUS18472-2,BRAKERILHT00000013028,CALCHIM00000027464,g3658.t1,3821,"['B_siliquastri_C_maculatus_A-linked_ortholog_6807', 'A_obtectus_C_chinensis_A-linked_ortholog_5038', 'A_obtectus_B_siliquastri_A-linked_ortholog_4835', 'B_siliquastri_C_chinensis_A-linked_ortholog_7293', 'C_chinensis_C_maculatus_A-linked_ortholog_5477', 'A_obtectus_C_maculatus_A-linked_ortholog_4603']"
A,rna-AOBTE_LOCUS18474-4,BRAKERILHT00000013947,CALCHIM00000027466,g3660.t1,3822,"['B_siliquastri_C_maculatus_A-linked_ortholog_6867', 'A_obtectus_C_chinensis_A-linked_ortholog_5040', 'A_obtectus_B_siliquastri_A-linked_ortholog_4836', 'B_siliquastri_C_chinensis_A-linked_ortholog_7356', 'C_chinensis_C_maculatus_A-linked_ortholog_5479', 'A_obtectus_C_maculatus_A-linked_ortholog_4605']"
A,rna-AOBTE_LOCUS18478,BRAKERILHT00000012417,CALCHIM00000027468,g3661.t1,3823,"['B_siliquastri_C_maculatus_A-linked_ortholog_6868', 'A_obtectus_C_chinensis_A-linked_ortholog_5042', 'A_obtectus_B_siliquastri_A-linked_ortholog_4837', 'B_siliquastri_C_chinensis_A-linked_ortholog_7357', 'C_chinensis_C_maculatus_A-linked_ortholog_5480', 'A_obtectus_C_maculatus_A-linked_ortholog_4606']"
A,rna-AOBTE_LOCUS18481,BRAKERILHT00000013546,CALCHIM00000027473,g3664.t1,3824,"['B_siliquastri_C_maculatus_A-linked_ortholog_6870', 'A_obtectus_C_chinensis_A-linked_ortholog_5044', 'A_obtectus_B_siliquastri_A-linked_ortholog_4839', 'B_siliquastri_C_chinensis_A-linked_ortholog_7358', 'C_chinensis_C_maculatus_A-linked_ortholog_5482', 'A_obtectus_C_maculatus_A-linked_ortholog_4609']"
A,rna-AOBTE_LOCUS18482,BRAKERILHT00000013896,CALCHIM00000027476,g3665.t1,3825,"['B_siliquastri_C_maculatus_A-linked_ortholog_6871', 'A_obtectus_C_chinensis_A-linked_ortholog_5045', 'A_obtectus_B_siliquastri_A-linked_ortholog_4840', 'B_siliquastri_C_chinensis_A-linked_ortholog_7359', 'C_chinensis_C_maculatus_A-linked_ortholog_5483', 'A_obtectus_C_maculatus_A-linked_ortholog_4610']"
A,rna-AOBTE_LOCUS18494,BRAKERILHT00000013336,CALCHIM00000003526,g3668.t1,3826,"['B_siliquastri_C_maculatus_A-linked_ortholog_6736', 'A_obtectus_C_chinensis_A-linked_ortholog_5047', 'A_obtectus_B_siliquastri_A-linked_ortholog_4844', 'B_siliquastri_C_chinensis_A-linked_ortholog_7209', 'C_chinensis_C_maculatus_A-linked_ortholog_892', 'A_obtectus_C_maculatus_A-linked_ortholog_4612']"
A,rna-AOBTE_LOCUS18505,BRAKERILHT00000013815,CALCHIM00000003537,g3669.t3,3827,"['B_siliquastri_C_maculatus_A-linked_ortholog_6737', 'A_obtectus_C_chinensis_A-linked_ortholog_5048', 'A_obtectus_B_siliquastri_A-linked_ortholog_4845', 'B_siliquastri_C_chinensis_A-linked_ortholog_7210', 'C_chinensis_C_maculatus_A-linked_ortholog_893', 'A_obtectus_C_maculatus_A-linked_ortholog_4613']"
A,rna-AOBTE_LOCUS18524,BRAKERILHT00000013471,CALCHIM00000003561,g3673.t1,3828,"['B_siliquastri_C_maculatus_A-linked_ortholog_6738', 'A_obtectus_C_chinensis_A-linked_ortholog_5050', 'A_obtectus_B_siliquastri_A-linked_ortholog_4847', 'B_siliquastri_C_chinensis_A-linked_ortholog_7212', 'C_chinensis_C_maculatus_A-linked_ortholog_894', 'A_obtectus_C_maculatus_A-linked_ortholog_4614']"
A,rna-AOBTE_LOCUS18550,BRAKERILHT00000013429,CALCHIM00000003578,g3678.t1,3829,"['B_siliquastri_C_maculatus_A-linked_ortholog_6739', 'A_obtectus_C_chinensis_A-linked_ortholog_5053', 'A_obtectus_B_siliquastri_A-linked_ortholog_4848', 'B_siliquastri_C_chinensis_A-linked_ortholog_7213', 'C_chinensis_C_maculatus_A-linked_ortholog_897', 'A_obtectus_C_maculatus_A-linked_ortholog_4616']"
A,rna-AOBTE_LOCUS18560,BRAKERILHT00000012408,CALCHIM00000003585,g3681.t1,3830,"['B_siliquastri_C_maculatus_A-linked_ortholog_6740', 'A_obtectus_C_chinensis_A-linked_ortholog_5054', 'A_obtectus_B_siliquastri_A-linked_ortholog_4849', 'B_siliquastri_C_chinensis_A-linked_ortholog_7214', 'C_chinensis_C_maculatus_A-linked_ortholog_899', 'A_obtectus_C_maculatus_A-linked_ortholog_4617']"
A,rna-AOBTE_LOCUS18636-2,BRAKERILHT00000013527,CALCHIM00000032474,g3688.t1,3831,"['B_siliquastri_C_maculatus_A-linked_ortholog_6743', 'A_obtectus_C_chinensis_A-linked_ortholog_5059', 'A_obtectus_B_siliquastri_A-linked_ortholog_4853', 'B_siliquastri_C_chinensis_A-linked_ortholog_7221', 'C_chinensis_C_maculatus_A-linked_ortholog_1565', 'A_obtectus_C_maculatus_A-linked_ortholog_4620']"
A,rna-AOBTE_LOCUS18640-2,BRAKERILHT00000013065,CALCHIM00000032478,g3689.t1,3832,"['B_siliquastri_C_maculatus_A-linked_ortholog_6744', 'A_obtectus_C_chinensis_A-linked_ortholog_5060', 'A_obtectus_B_siliquastri_A-linked_ortholog_4854', 'B_siliquastri_C_chinensis_A-linked_ortholog_7222', 'C_chinensis_C_maculatus_A-linked_ortholog_1566', 'A_obtectus_C_maculatus_A-linked_ortholog_4621']"
A,rna-AOBTE_LOCUS18646,BRAKERILHT00000013002,CALCHIM00000032492,g3692.t1,3833,"['B_siliquastri_C_maculatus_A-linked_ortholog_6746', 'A_obtectus_C_chinensis_A-linked_ortholog_5061', 'A_obtectus_B_siliquastri_A-linked_ortholog_4855', 'B_siliquastri_C_chinensis_A-linked_ortholog_7224', 'C_chinensis_C_maculatus_A-linked_ortholog_1570', 'A_obtectus_C_maculatus_A-linked_ortholog_4622']"
A,rna-AOBTE_LOCUS18649,BRAKERILHT00000013586,CALCHIM00000032501,g3693.t1,3834,"['B_siliquastri_C_maculatus_A-linked_ortholog_6747', 'A_obtectus_C_chinensis_A-linked_ortholog_5063', 'A_obtectus_B_siliquastri_A-linked_ortholog_4857', 'B_siliquastri_C_chinensis_A-linked_ortholog_7227', 'C_chinensis_C_maculatus_A-linked_ortholog_1571', 'A_obtectus_C_maculatus_A-linked_ortholog_4623']"
A,rna-AOBTE_LOCUS18650-3,BRAKERILHT00000012828,CALCHIM00000032502,g3694.t1,3835,"['B_siliquastri_C_maculatus_A-linked_ortholog_6748', 'A_obtectus_C_chinensis_A-linked_ortholog_5064', 'A_obtectus_B_siliquastri_A-linked_ortholog_4858', 'B_siliquastri_C_chinensis_A-linked_ortholog_7228', 'C_chinensis_C_maculatus_A-linked_ortholog_1572', 'A_obtectus_C_maculatus_A-linked_ortholog_4624']"
A,rna-AOBTE_LOCUS18651-3,BRAKERILHT00000013754,CALCHIM00000032506,g3696.t1,3836,"['B_siliquastri_C_maculatus_A-linked_ortholog_6750', 'A_obtectus_C_chinensis_A-linked_ortholog_5065', 'A_obtectus_B_siliquastri_A-linked_ortholog_4859', 'B_siliquastri_C_chinensis_A-linked_ortholog_7230', 'C_chinensis_C_maculatus_A-linked_ortholog_1574', 'A_obtectus_C_maculatus_A-linked_ortholog_4625']"
A,rna-AOBTE_LOCUS18652,BRAKERILHT00000013537,CALCHIM00000032512,g3697.t1,3837,"['B_siliquastri_C_maculatus_A-linked_ortholog_6751', 'A_obtectus_C_chinensis_A-linked_ortholog_5066', 'A_obtectus_B_siliquastri_A-linked_ortholog_4860', 'B_siliquastri_C_chinensis_A-linked_ortholog_7231', 'C_chinensis_C_maculatus_A-linked_ortholog_1575', 'A_obtectus_C_maculatus_A-linked_ortholog_4626']"
A,rna-AOBTE_LOCUS18654-8,BRAKERILHT00000014017,CALCHIM00000016192,g3838.t1,3838,"['B_siliquastri_C_maculatus_A-linked_ortholog_6752', 'A_obtectus_C_chinensis_A-linked_ortholog_5067', 'A_obtectus_B_siliquastri_A-linked_ortholog_4861', 'B_siliquastri_C_chinensis_A-linked_ortholog_7232', 'C_chinensis_C_maculatus_A-linked_ortholog_3942', 'A_obtectus_C_maculatus_A-linked_ortholog_4627']"
A,rna-AOBTE_LOCUS18655,BRAKERILHT00000012589,CALCHIM00000016190,g3839.t1,3839,"['B_siliquastri_C_maculatus_A-linked_ortholog_6753', 'A_obtectus_C_chinensis_A-linked_ortholog_5068', 'A_obtectus_B_siliquastri_A-linked_ortholog_4862', 'B_siliquastri_C_chinensis_A-linked_ortholog_7233', 'C_chinensis_C_maculatus_A-linked_ortholog_3941', 'A_obtectus_C_maculatus_A-linked_ortholog_4628']"
A,rna-AOBTE_LOCUS18656-3,BRAKERILHT00000013312,CALCHIM00000016188,g3840.t2,3840,"['B_siliquastri_C_maculatus_A-linked_ortholog_6754', 'A_obtectus_C_chinensis_A-linked_ortholog_5069', 'A_obtectus_B_siliquastri_A-linked_ortholog_4863', 'B_siliquastri_C_chinensis_A-linked_ortholog_7234', 'C_chinensis_C_maculatus_A-linked_ortholog_3940', 'A_obtectus_C_maculatus_A-linked_ortholog_4629']"
A,rna-AOBTE_LOCUS18657,BRAKERILHT00000013765,CALCHIM00000016180,g3841.t1,3841,"['B_siliquastri_C_maculatus_A-linked_ortholog_6755', 'A_obtectus_C_chinensis_A-linked_ortholog_5070', 'A_obtectus_B_siliquastri_A-linked_ortholog_4864', 'B_siliquastri_C_chinensis_A-linked_ortholog_7235', 'C_chinensis_C_maculatus_A-linked_ortholog_3939', 'A_obtectus_C_maculatus_A-linked_ortholog_4630']"
A,rna-AOBTE_LOCUS18659-2,BRAKERILHT00000012373,CALCHIM00000016179,g3842.t1,3842,"['B_siliquastri_C_maculatus_A-linked_ortholog_6756', 'A_obtectus_C_chinensis_A-linked_ortholog_5071', 'A_obtectus_B_siliquastri_A-linked_ortholog_4865', 'B_siliquastri_C_chinensis_A-linked_ortholog_7236', 'C_chinensis_C_maculatus_A-linked_ortholog_3938', 'A_obtectus_C_maculatus_A-linked_ortholog_4631']"
A,rna-AOBTE_LOCUS18662-5,BRAKERILHT00000013847,CALCHIM00000050013,g3712.t1,3843,"['B_siliquastri_C_maculatus_A-linked_ortholog_6731', 'A_obtectus_C_chinensis_A-linked_ortholog_5072', 'A_obtectus_B_siliquastri_A-linked_ortholog_4866', 'B_siliquastri_C_chinensis_A-linked_ortholog_7204', 'C_chinensis_C_maculatus_A-linked_ortholog_7784', 'A_obtectus_C_maculatus_A-linked_ortholog_4632']"
A,rna-AOBTE_LOCUS18664-3,BRAKERILHT00000012730,CALCHIM00000050019,g3711.t1,3844,"['B_siliquastri_C_maculatus_A-linked_ortholog_6730', 'A_obtectus_C_chinensis_A-linked_ortholog_5073', 'A_obtectus_B_siliquastri_A-linked_ortholog_4867', 'B_siliquastri_C_chinensis_A-linked_ortholog_7203', 'C_chinensis_C_maculatus_A-linked_ortholog_7785', 'A_obtectus_C_maculatus_A-linked_ortholog_4633']"
A,rna-AOBTE_LOCUS18688,BRAKERILHT00000013515,CALCHIM00000052625,g3867.t1,3845,"['B_siliquastri_C_maculatus_A-linked_ortholog_6913', 'A_obtectus_B_siliquastri_A-linked_ortholog_4870', 'B_siliquastri_C_chinensis_A-linked_ortholog_7401', 'C_chinensis_C_maculatus_A-linked_ortholog_1087', 'A_obtectus_C_maculatus_A-linked_ortholog_4635']"
A,rna-AOBTE_LOCUS18716-3,BRAKERILHT00000013419,CALCHIM00000023297,g3912.t1,3846,"['B_siliquastri_C_maculatus_A-linked_ortholog_6726', 'A_obtectus_C_chinensis_A-linked_ortholog_5082', 'A_obtectus_B_siliquastri_A-linked_ortholog_4875', 'B_siliquastri_C_chinensis_A-linked_ortholog_7195', 'C_chinensis_C_maculatus_A-linked_ortholog_7027', 'A_obtectus_C_maculatus_A-linked_ortholog_4638']"
A,rna-AOBTE_LOCUS18717,BRAKERILHT00000012925,CALCHIM00000023301,g3913.t1,3847,"['B_siliquastri_C_maculatus_A-linked_ortholog_6725', 'A_obtectus_C_chinensis_A-linked_ortholog_5083', 'A_obtectus_B_siliquastri_A-linked_ortholog_4876', 'B_siliquastri_C_chinensis_A-linked_ortholog_7194', 'C_chinensis_C_maculatus_A-linked_ortholog_7028', 'A_obtectus_C_maculatus_A-linked_ortholog_4639']"
A,rna-AOBTE_LOCUS18720,BRAKERILHT00000013960,CALCHIM00000023309,g3917.t1,3848,"['B_siliquastri_C_maculatus_A-linked_ortholog_6671', 'A_obtectus_C_chinensis_A-linked_ortholog_5084', 'A_obtectus_B_siliquastri_A-linked_ortholog_4877', 'B_siliquastri_C_chinensis_A-linked_ortholog_7138', 'C_chinensis_C_maculatus_A-linked_ortholog_7031', 'A_obtectus_C_maculatus_A-linked_ortholog_4640']"
A,rna-AOBTE_LOCUS18722-2,BRAKERILHT00000012758,CALCHIM00000023311,g3918.t1,3849,"['B_siliquastri_C_maculatus_A-linked_ortholog_6672', 'A_obtectus_C_chinensis_A-linked_ortholog_5085', 'A_obtectus_B_siliquastri_A-linked_ortholog_4878', 'B_siliquastri_C_chinensis_A-linked_ortholog_7139', 'C_chinensis_C_maculatus_A-linked_ortholog_7032', 'A_obtectus_C_maculatus_A-linked_ortholog_4641']"
A,rna-AOBTE_LOCUS18724,BRAKERILHT00000012541,CALCHIM00000023318,g3919.t1,3850,"['B_siliquastri_C_maculatus_A-linked_ortholog_6673', 'A_obtectus_C_chinensis_A-linked_ortholog_5086', 'A_obtectus_B_siliquastri_A-linked_ortholog_4879', 'B_siliquastri_C_chinensis_A-linked_ortholog_7140', 'C_chinensis_C_maculatus_A-linked_ortholog_7033', 'A_obtectus_C_maculatus_A-linked_ortholog_4642']"
A,rna-AOBTE_LOCUS18737,BRAKERILHT00000012987,CALCHIM00000023344,g3924.t1,3851,"['B_siliquastri_C_maculatus_A-linked_ortholog_6674', 'A_obtectus_C_chinensis_A-linked_ortholog_5088', 'A_obtectus_B_siliquastri_A-linked_ortholog_4880', 'B_siliquastri_C_chinensis_A-linked_ortholog_7141', 'C_chinensis_C_maculatus_A-linked_ortholog_7036', 'A_obtectus_C_maculatus_A-linked_ortholog_4644']"
A,rna-AOBTE_LOCUS18740,BRAKERILHT00000013981,CALCHIM00000023345,g3926.t1,3852,"['B_siliquastri_C_maculatus_A-linked_ortholog_6676', 'A_obtectus_C_chinensis_A-linked_ortholog_5089', 'A_obtectus_B_siliquastri_A-linked_ortholog_4882', 'B_siliquastri_C_chinensis_A-linked_ortholog_7142', 'C_chinensis_C_maculatus_A-linked_ortholog_7037', 'A_obtectus_C_maculatus_A-linked_ortholog_4646']"
A,rna-AOBTE_LOCUS18745,BRAKERILHT00000012929,CALCHIM00000023348,g3930.t1,3853,"['B_siliquastri_C_maculatus_A-linked_ortholog_6677', 'A_obtectus_C_chinensis_A-linked_ortholog_5090', 'A_obtectus_B_siliquastri_A-linked_ortholog_4883', 'B_siliquastri_C_chinensis_A-linked_ortholog_7143', 'C_chinensis_C_maculatus_A-linked_ortholog_7038', 'A_obtectus_C_maculatus_A-linked_ortholog_4647']"
A,rna-AOBTE_LOCUS18760,BRAKERILHT00000013032,CALCHIM00000020136,g3931.t1,3854,"['B_siliquastri_C_maculatus_A-linked_ortholog_6678', 'A_obtectus_C_chinensis_A-linked_ortholog_5091', 'A_obtectus_B_siliquastri_A-linked_ortholog_4884', 'B_siliquastri_C_chinensis_A-linked_ortholog_7144', 'C_chinensis_C_maculatus_A-linked_ortholog_8217', 'A_obtectus_C_maculatus_A-linked_ortholog_4648']"
A,rna-AOBTE_LOCUS18772,BRAKERILHT00000013340,CALCHIM00000033604,g3935.t1,3855,"['B_siliquastri_C_maculatus_A-linked_ortholog_6681', 'A_obtectus_C_chinensis_A-linked_ortholog_5092', 'A_obtectus_B_siliquastri_A-linked_ortholog_4885', 'B_siliquastri_C_chinensis_A-linked_ortholog_7147', 'C_chinensis_C_maculatus_A-linked_ortholog_6545', 'A_obtectus_C_maculatus_A-linked_ortholog_4649']"
A,rna-AOBTE_LOCUS18773-3,BRAKERILHT00000013118,CALCHIM00000033602,g3936.t1,3856,"['B_siliquastri_C_maculatus_A-linked_ortholog_6682', 'A_obtectus_C_chinensis_A-linked_ortholog_5093', 'A_obtectus_B_siliquastri_A-linked_ortholog_4886', 'B_siliquastri_C_chinensis_A-linked_ortholog_7148', 'C_chinensis_C_maculatus_A-linked_ortholog_6544', 'A_obtectus_C_maculatus_A-linked_ortholog_4650']"
A,rna-AOBTE_LOCUS18777,BRAKERILHT00000012921,CALCHIM00000033598,g3940.t1,3857,"['B_siliquastri_C_maculatus_A-linked_ortholog_6684', 'A_obtectus_C_chinensis_A-linked_ortholog_5094', 'A_obtectus_B_siliquastri_A-linked_ortholog_4888', 'B_siliquastri_C_chinensis_A-linked_ortholog_7150', 'C_chinensis_C_maculatus_A-linked_ortholog_6541', 'A_obtectus_C_maculatus_A-linked_ortholog_4652']"
A,rna-AOBTE_LOCUS18778-3,BRAKERILHT00000013464,CALCHIM00000033597,g3941.t1,3858,"['B_siliquastri_C_maculatus_A-linked_ortholog_6685', 'A_obtectus_C_chinensis_A-linked_ortholog_5095', 'A_obtectus_B_siliquastri_A-linked_ortholog_4889', 'B_siliquastri_C_chinensis_A-linked_ortholog_7151', 'C_chinensis_C_maculatus_A-linked_ortholog_6540', 'A_obtectus_C_maculatus_A-linked_ortholog_4653']"
A,rna-AOBTE_LOCUS18779,BRAKERILHT00000013833,CALCHIM00000033595,g3942.t1,3859,"['B_siliquastri_C_maculatus_A-linked_ortholog_6686', 'A_obtectus_C_chinensis_A-linked_ortholog_5096', 'A_obtectus_B_siliquastri_A-linked_ortholog_4890', 'B_siliquastri_C_chinensis_A-linked_ortholog_7152', 'C_chinensis_C_maculatus_A-linked_ortholog_6539', 'A_obtectus_C_maculatus_A-linked_ortholog_4654']"
